sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	item-note	fulfillment-center-id	merchant-shipping-group-name	product_tax_code
TY573	5055071713330	4	5.71			11	242	a	6	3
TY570	5055071713309	4	4.35			11	1172	a	6	3
LON47	5055071655654	4	5.02			11	398	a	6	3
KN158	5055071656989	4	13.27			11	248	a	6	3
SK220	5055071705335	4	17.99			11	253	a	6	3
SK221	5055071705342	4	15.34			11	157	a	6	3
SK222	5055071705359	4	10.25			11	141	a	6	3
DRG272	5055071664984	4	19.58			11	19	a	6	3
DRG273	5055071665257	4	37.99			11	79	a	6	3
PEN63	5055071690457	4	5.15			11	1500	a	6	3
SK137B	5055071664922	4	8.13			11	239	a	6	3
SK212	5055071700279	4	3.88			11	1021	a	6	3
TYJ100	5055071673245	4	8.81			11	172	a	6	3
INC382	5028691380237	4	18.13			11	108	a	6	3
CUSH74	5055071707469	4	10.23			11	107	a	6	3
LON05	5055071622243	4	4.54			11	1515	a	6	3
OB235	5055071707988	4	5.55			11	1009	a	6	3
OB232	5055071707957	4	6.88			11	1003	a	6	3
OB231	5055071707940	4	8.62			11	1822	a	6	3
MUG213	5055071710803	4	7.9			11	763	a	6	3
